"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"chevet";3;3;8.9333;1.0
"Eunuque";3;3;8.9333;5.0
"vécu";8;3;7.1869;7.0
"lit";14;3;6.376;4.0
"Megaliens";2;2;5.954;4.5
"Royaume";19;3;5.9525;9.0
"désordre";26;3;5.5262;10.0
"ordinairement";32;3;5.2477;3.0
"lire";47;3;4.7384;4.0
"faisait";63;3;4.3548;5.0
"endroit";71;3;4.1994;4.6666665
"un";1739;8;3.2239;6.25
"Comédies";697;5;3.0238;2.4
"de";11325;23;2.631;2.6086957
"termes";110;2;2.2089;4.0
"celles";126;2;2.0953;4.0
