"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Cardinal";12;4;10.8954;1.0
"Monsieur";23;4;9.6443;3.0
"dissolution";6;2;5.6108;6.0
"discernement";7;2;5.4648;9.0
"porté";13;2;4.8956;9.0
"tant";202;3;4.0798;6.0
"faisait";63;2;3.5028;2.0
"Mais";326;3;3.4696;3.0
"avait";424;3;3.1388;6.6666665
"actions";196;2;2.5275;5.0
"le";3534;6;2.4779;2.6666667
"grand";217;2;2.4413;8.0
"toutes";352;2;2.0358;3.0
