"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Satyres";8;2;5.1811;2.5
"Fables";28;2;4.0535;5.5
"comment";61;2;3.3732;5.0
"Tragédie";79;2;3.1494;8.0
