"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"saint";160;4;5.3779;0.0
".";6697;16;5.034;5.0
"Comitolus";16;2;4.3001;3.0
"Saint";124;3;4.1024;0.0
"10";27;2;3.836;6.5
"3";66;2;3.0572;5.5
"métier";70;2;3.0064;6.0
"Comédiens";296;3;2.9982;4.6666665
"représentent";71;2;2.9942;7.0
"encore";369;3;2.7252;5.3333335
"nom";152;2;2.3447;8.0
