"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"pêchent";6;3;9.1787;3.0
"pèchent";9;3;8.5557;3.6666665
"soutient";13;3;8.024;0.0
"Hurtado";2;2;6.9813;1.0
"ils";1621;7;5.9462;2.7142856
"permettent";6;2;5.8055;6.5
"mortellement";7;2;5.6595;3.5
"parce";361;3;3.6251;5.0
"?";626;3;2.9333;0.6666666
"-";1826;4;2.5132;6.5
