"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Apostats";2;2;6.9813;1.0
"traite";9;2;5.4256;8.0
"parlant";41;2;4.071;8.0
"lorsque";48;2;3.9332;7.0
"sentiment";70;2;3.6046;5.0
"avait";424;3;3.4214;3.6666665
"Théâtres";121;2;3.1312;10.0
"Scéniques";151;2;2.9409;6.0
"Histrions";214;2;2.6429;3.0
"autre";270;2;2.4457;4.0
"aux";1087;3;2.2601;7.333333
"S";345;2;2.2393;5.0
