"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Nevius";4;3;8.7419;1.3333333
"Aristophane";2;2;6.227;5.5
"déclare";47;2;3.2032;0.5
"condamne";117;2;2.4208;3.5
"peu";166;2;2.1266;7.0
