"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Macer";3;2;6.5042;3.5
"artem";6;2;5.8055;4.0
"ludicram";7;2;5.6595;5.0
"Jurisconsulte";12;2;5.1626;2.0
"art";186;3;4.4747;8.0
"appelle";59;2;3.7532;1.0
"dit";850;4;3.7391;0.75
"infamie";206;2;2.6754;5.5
"jeux";268;2;2.452;5.5
",";17175;12;2.0172;3.1666665
