"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"III";36;6;12.8775;0.0
"condamna";5;3;8.5692;3.0
"désordre";26;3;6.1586;5.3333335
"Pape";49;3;5.313;0.0
"Canon";52;3;5.2346;6.0
"Décret";8;2;4.9307;5.5
"decorem";8;2;4.9307;5.5
"cum";14;2;4.4199;5.5
"diverses";17;2;4.246;8.0
"représentations";138;3;3.9648;8.333333
"bouffonneries";26;2;3.8693;7.0
"ce";1986;7;3.4501;4.285714
"sainteté";43;2;3.4286;3.0
"condamner";49;2;3.315;6.0
"indignes";65;2;3.0703;6.0
"lieux";76;2;2.9356;1.0
