"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"condamne";117;5;6.8862;1.8
"blâme";18;3;6.131;1.0
"voici";33;3;5.3106;4.0
"exercice";35;2;3.2584;7.5
"sais";42;2;3.0999;5.0
"Poète";44;2;3.0596;7.5
"Dissertation";453;4;2.9644;5.25
"Aussi";53;2;2.8987;0.0
"écrit";67;2;2.6973;0.0
"Tragédie";79;2;2.5565;6.0
"ne";2485;8;2.4772;3.625
"Auteur";340;3;2.3306;8.333333
"Réfutation";131;2;2.1295;5.5
"e";134;2;2.1106;5.5
"a";1304;5;2.0214;3.4
