"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Cyprien";51;4;7.6087;3.75
"Epitre";5;2;5.4935;2.5
"Epître";17;2;4.3619;3.0
"écrit";67;2;3.159;1.0
"saint";160;2;2.4141;6.0
"sur";668;3;2.1694;2.6666667
"dans";2264;5;2.0051;3.6
