"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Aréopagite";2;2;7.2328;1.0
"chez";25;2;4.7572;2.0
"Saint";124;2;3.3588;0.0
"Jeux";446;2;2.2664;9.0
