"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Apostat";7;6;18.6685;1.0
"Empereur";111;6;10.1799;0.0
"l'";4169;13;6.0287;1.0769231
"L'";156;2;2.4356;1.0
"paroles";249;2;2.0434;3.0
