"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Père";49;5;9.9824;0.0
"Jésuite";13;2;4.6027;0.0
"12";20;2;4.2172;8.0
"dit";850;4;2.8248;1.0
"discours";101;2;2.8058;2.5
