"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"bâti";2;2;6.1824;5.5
"diversement";6;2;5.0072;9.5
"repris";8;2;4.7366;3.0
"dieux";9;2;4.6277;7.5
"disaient";10;2;4.531;1.0
"vieillards";13;2;4.2929;6.0
"uns";54;2;3.0389;2.0
"vers";92;2;2.5815;3.5
"ont";719;4;2.5261;6.25
"eût";102;2;2.4937;4.0
"au";757;4;2.4468;5.5
"avait";424;3;2.2847;3.6666665
