"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Empereur";111;3;4.8535;3.6666665
"Théodose";37;2;3.967;4.0
"avait";424;3;3.1388;7.333333
"Je";200;2;2.5104;5.5
