"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Cyprien";51;8;16.7733;1.75
"Epître";17;6;15.0701;4.5
"tiré";29;6;13.4887;7.833333
"Majolus";2;2;6.3767;7.5
"dilectione";4;2;5.5989;9.5
"Lucas";8;2;4.9307;3.5
"Penna";8;2;4.9307;5.5
"enseigne";19;2;4.1469;2.5
"S";345;4;4.0749;4.5
"saint";160;3;3.7754;2.0
"lequel";33;2;3.6598;9.5
"l'";4169;10;3.3512;4.4
".";6697;13;3.3155;5.1538463
"de";11325;17;2.9089;5.0588236
"à";3221;8;2.8767;0.875
