"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Sidonius";11;6;17.2586;0.0
"décrit";9;3;8.0227;3.0
"donnés";18;3;7.0367;10.0
"Evêque";22;3;6.7615;0.33333337
"France";28;3;6.4346;2.0
"furent";86;3;4.9489;9.0
"Cirque";118;3;4.5375;7.0
"Réfutation";131;2;2.7151;7.5
"e";134;2;2.6958;7.5
"L'";156;2;2.5663;7.5
"Car";198;2;2.3645;6.0
".";6697;9;2.2401;5.111111
"jeux";268;2;2.1106;5.0
