"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Apollinaris";6;6;18.32;0.0
"Evêque";22;4;8.3473;2.25
"décrit";9;3;7.2293;4.0
"France";28;3;5.6437;3.0
"prissent";7;2;4.7785;8.5
"furent";86;3;4.1656;10.0
"Cirque";118;3;3.7585;8.0
"étrange";34;2;3.3587;4.0
"devait";45;2;3.1148;4.5
"Dissertation";453;4;3.104;4.5
"Car";198;3;3.1025;6.6666665
"temps";301;3;2.5838;6.6666665
"Auteur";340;3;2.4356;6.6666665
"Réfutation";131;2;2.2022;7.5
"e";134;2;2.1832;7.5
"L'";156;2;2.0563;7.5
