"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"alla";4;2;5.594;2.5
"Solon";8;2;4.9257;4.5
"Thespis";9;2;4.8168;6.0
"répondit";11;2;4.6331;1.0
"jouait";12;2;4.5541;5.0
"présence";20;2;4.0964;5.0
"Plutarque";21;2;4.0531;4.0
"fausses";33;2;3.6549;8.0
"tant";202;3;3.4715;2.3333333
"monde";217;3;3.3808;2.0
"lui";548;4;3.3035;3.0
"jour";88;2;2.8049;2.5
"mal";177;2;2.2119;10.0
