"Occ";"Fréq";"CoFréq";"Indice";"DistMoy"
"Laërce";2;2;6.9813;0.0
"allé";5;2;5.9815;5.0
"raconte";9;2;5.4256;1.0
"Socrate";9;2;5.4256;3.0
"Euripide";10;2;5.3288;10.0
"Tragédie";79;2;3.4996;8.0
"raison";170;2;2.8394;5.0
"Le";179;2;2.7953;4.0
"étant";229;2;2.5853;4.0
"jeux";268;2;2.452;3.5
